@relation segmentation-data

@attribute REGION-CENTROID-COL numeric
@attribute REGION-CENTROID-ROW numeric
@attribute REGION-PIXEL-COUNT numeric
@attribute SHORT-LINE-DENSITY-5 numeric
@attribute SHORT-LINE-DENSITY-2 numeric
@attribute VEDGE-MEAN numeric
@attribute VEDGE-SD numeric
@attribute HEDGE-MEAN numeric
@attribute HEDGE-SD numeric
@attribute INTENSITY-MEAN numeric
@attribute RAWRED-MEAN numeric
@attribute RAWBLUE-MEAN numeric
@attribute RAWGREEN-MEAN numeric
@attribute EXRED-MEAN numeric
@attribute EXBLUE-MEAN numeric
@attribute EXGREEN-MEAN numeric
@attribute VALUE-MEAN numeric
@attribute SATURATION-MEAN numeric
@attribute HUE-MEAN numeric
@attribute CLASS {BRICKFACE,SKY,FOLIAGE,CEMENT,WINDOW,PATH,GRASS}

@data
140,125,9,0,0,0.277778,0.062963,0.666667,0.311111,6.185185,7.333334,7.666666,3.555556,3.444444,4.444445,-7.888889,7.777778,0.545635,-1.121818,BRICKFACE
188,133,9,0,0,0.333333,0.266667,0.5,0.077778,6.666666,8.333334,7.777778,3.888889,5,3.333333,-8.333333,8.444445,0.53858,-0.924817,BRICKFACE
105,139,9,0,0,0.277778,0.107407,0.833333,0.522222,6.111111,7.555555,7.222222,3.555556,4.333334,3.333333,-7.666666,7.555555,0.532628,-0.965946,BRICKFACE
34,137,9,0,0,0.5,0.166667,1.111111,0.474074,5.851852,7.777778,6.444445,3.333333,5.777778,1.777778,-7.555555,7.777778,0.573633,-0.744272,BRICKFACE
39,111,9,0,0,0.722222,0.374074,0.888889,0.429629,6.037037,7,7.666666,3.444444,2.888889,4.888889,-7.777778,7.888889,0.562919,-1.175773,BRICKFACE
16,128,9,0,0,0.5,0.077778,0.666667,0.311111,5.555555,6.888889,6.666666,3.111111,4,3.333333,-7.333334,7.111111,0.561508,-0.985811,BRICKFACE
26,67,9,0.111111,0,1,0.88889,2.444445,3.185185,20,19.555555,25.88889,14.555555,-1.333333,17.666666,-16.333334,25.88889,0.436939,-1.623202,BRICKFACE
14,110,9,0,0,1.722222,5.351851,2.666667,1.022223,17.925926,18.88889,21.444445,13.444445,2.888889,10.555555,-13.444445,21.444445,0.368848,-1.345096,BRICKFACE
11,108,9,0,0,1.333333,0.8,1.388889,0.951852,17.666666,19,21.11111,12.888889,4,10.333333,-14.333333,21.11111,0.388756,-1.302133,BRICKFACE
85,101,9,0,0,1.333333,1.288888,1.277778,1.218518,21.296297,21.222221,26.777779,15.888889,-0.222222,16.444445,-16.222221,26.777779,0.404792,-1.558599,BRICKFACE
18,145,9,0,0,0.388889,0.018518,0.611111,0.374074,3.925926,5.555555,4,2.222222,4.888889,0.222222,-5.111111,5.555555,0.600529,-0.57094,BRICKFACE
23,55,9,0,0,2.222222,3.674073,1.777777,0.785185,23.444445,21.666666,31.11111,17.555555,-5.333334,23,-17.666666,31.11111,0.43507,-1.771163,BRICKFACE
196,129,9,0,0,0.833333,0.433333,0.666667,0.177778,6.333334,7.888889,7.333334,3.777778,4.666666,3,-7.666666,8.222222,0.540123,-0.932783,BRICKFACE
80,116,9,0,0,1.5,1.633333,1.555556,0.874074,21.703703,21.222221,27.555555,16.333334,-1.444444,17.555555,-16.11111,27.555555,0.407364,-1.632243,BRICKFACE
2,44,9,0,0,2.166667,2.388888,2.38889,1.529629,18.74074,17.333334,25.222221,13.666667,-4.222222,19.444445,-15.222222,25.222221,0.457681,-1.753726,BRICKFACE
120,136,9,0,0,0.611111,0.418519,1,0.444444,6.259259,7.777778,7.222222,3.777778,4.555555,2.888889,-7.444445,8,0.529541,-0.924607,BRICKFACE
146,124,9,0,0,0.5,0.166667,0.388889,0.107407,6.037037,7.444445,7.333334,3.333333,4.222222,3.888889,-8.111111,7.666666,0.563492,-1.02473,BRICKFACE
23,85,9,0,0,1.444444,1.051853,1.777778,0.962963,17.962963,18.88889,21.88889,13.111111,2.777778,11.777778,-14.555555,21.88889,0.399751,-1.386867,BRICKFACE
138,116,9,0,0,0.611111,0.151852,0.444445,0.207407,6.481482,7.555555,8.222222,3.666667,3.222222,5.222222,-8.444445,8.333334,0.559171,-1.19107,BRICKFACE
229,124,9,0,0,0.888889,0.074074,0.888889,0.340741,5.888889,7.111111,7.111111,3.444444,3.666667,3.666667,-7.333334,7.555555,0.545855,-1.037663,BRICKFACE
22,116,9,0,0,0.388889,0.107407,0.333333,0.133333,5.62963,6.777778,7,3.111111,3.444444,4.111111,-7.555555,7.333334,0.575397,-1.099624,BRICKFACE
121,60,9,0,0,2.277778,2.329629,2.888889,2.874074,26.74074,24.666666,35.22222,20.333334,-6.222222,25.444445,-19.222221,35.22222,0.4223,-1.776113,BRICKFACE
33,149,9,0,0,0.555556,0.251852,0.722222,0.151852,5.444445,4.111111,8.666667,3.555556,-4,9.666667,-5.666666,8.666667,0.578339,-1.985703,BRICKFACE
80,95,9,0,0,1.222222,1.007408,0.944444,0.551851,21.407408,21.333334,26.666666,16.222223,-0.222222,15.777778,-15.555555,26.666666,0.390436,-1.567327,BRICKFACE
96,84,9,0,0,1.5,1.277777,1.611111,2.285188,23.851852,23.555555,30,18,-0.888889,18.444445,-17.555555,30,0.398791,-1.598867,BRICKFACE
145,102,9,0,0,0.888889,0.607408,2.611111,1.485186,23.074074,22.11111,29.777779,17.333334,-2.888889,20.11111,-17.222221,29.777779,0.417763,-1.68544,BRICKFACE
18,138,9,0,0,0.888889,0.562963,0.833333,0.3,5.740741,7.333334,6.555555,3.333333,4.777778,2.444444,-7.222222,7.333334,0.543871,-0.862108,BRICKFACE
138,133,9,0,0,0.666667,0.444444,1.166667,0.211111,6.444445,7.777778,7.888889,3.666667,4,4.333334,-8.333333,8.222222,0.558201,-1.077659,BRICKFACE
121,113,9,0,0,1.722222,1.52963,2.944444,1.529629,20.25926,20,25.444445,15.333333,-0.777778,15.555555,-14.777778,25.444445,0.396589,-1.585609,BRICKFACE
95,57,9,0,0,1.833333,3.411111,2.111111,1.718517,26.296297,24.666666,34.444447,19.777779,-4.888889,24.444445,-19.555555,34.444447,0.425691,-1.739017,BRICKFACE
140,25,9,0,0,0.999999,1.46667,1.111111,0.118518,128,117.77778,142.33334,123.888885,-30.666666,43,-12.333333,142.33334,0.172504,-2.354552,SKY
142,33,9,0,0,0.499999,0.623609,0.500001,0.349603,110.59259,96.77778,128.66667,106.333336,-41.444443,54.22222,-12.777778,128.66667,0.247776,-2.408019,SKY
66,41,9,0,0,0.611112,0.327731,0.388892,0.327733,109.703705,95.111115,128.88889,105.111115,-43.77778,57.555557,-13.777778,128.88889,0.262046,-2.404745,SKY
165,99,9,0,0,0.888891,0.474074,0.777779,0.474074,93.40741,79,118,83.22222,-43.22222,73.77778,-30.555555,118,0.330418,-2.207756,SKY
228,20,9,0,0,1.055555,0.490655,0.833333,0.752773,125,114,140.55556,120.44444,-33,46.666668,-13.666667,140.55556,0.188892,-2.348006,SKY
124,29,9,0,0,1.000001,0.711108,1.055553,0.907417,128.44444,119.22222,142.88889,123.22222,-27.666666,43.333332,-15.666667,142.88889,0.165616,-2.271128,SKY
156,32,9,0,0,0.777774,0.162964,2.611109,1.040738,136.2963,129.77779,146.33334,132.77779,-19.555555,30.11111,-10.555555,146.33334,0.113055,-2.280755,SKY
21,90,9,0,0,0.666668,0.044444,0.777779,0.562963,113.48148,105.888885,128.55556,106,-22.777779,45.22222,-22.444445,128.55556,0.179697,-2.097815,SKY
8,39,9,0.111111,0,1.388891,1.129629,1.833333,0.699999,113.37037,102.55556,132,105.55556,-32.444443,55.88889,-23.444445,132,0.222954,-2.198158,SKY
122,11,9,0,0,1,0.311116,2.888891,5.051852,143.44444,136.88889,150.88889,142.55556,-19.666666,22.333334,-2.666667,150.88889,0.092773,-2.521648,SKY
44,79,9,0,0,0.444444,0.344265,0.777779,0.403686,107.74074,93.888885,126.55556,102.77778,-41.555557,56.444443,-14.888889,126.55556,0.258079,-2.377965,SKY
7,18,9,0,0,1.277779,0.729626,0.944445,0.374079,138.62962,133.33334,147.55556,135,-15.888889,26.777779,-10.888889,147.55556,0.096352,-2.214612,SKY
188,42,9,0,0,0.777779,0.54433,1.666668,1.264908,108.92593,95.666664,126.22222,104.888885,-39.77778,51.88889,-12.111111,126.22222,0.241934,-2.410388,SKY
152,18,9,0,0,0.777777,0.455422,0.555557,0.272164,112.111115,97.22222,130.44444,108.666664,-44.666668,55,-10.333333,130.44444,0.254668,-2.45498,SKY
120,74,9,0,0,0.333335,0.088889,0.500001,0.077778,101.85185,89.111115,123.22222,93.22222,-38.22222,64.111115,-25.88889,123.22222,0.276784,-2.220553,SKY
143,24,9,0,0,1.277777,0.907406,0.888888,1.140749,127.62963,117.666664,141.66667,123.55556,-29.88889,42.11111,-12.222222,141.66667,0.169397,-2.349252,SKY
181,27,9,0,0,0.722221,0.462964,0.5,0.255555,138.07408,132.55556,146.55556,135.11111,-16.555555,25.444445,-8.888889,146.55556,0.096263,-2.264532,SKY
107,21,9,0,0,0.666662,0.516398,1.166667,0.408248,126.77778,115.77778,141.88889,122.666664,-33,45.333332,-12.333333,141.88889,0.184022,-2.370372,SKY
226,83,9,0,0,0.888889,0.518519,1.055552,0.507406,90.62963,74.55556,116.888885,80.44444,-48.22222,78.77778,-30.555555,116.888885,0.362062,-2.239053,SKY
93,29,9,0,0,1.222224,1.229636,1.388891,1.574082,128.48148,119,142.77777,123.666664,-28.444445,42.88889,-14.444445,142.77777,0.166484,-2.29776,SKY
60,52,9,0,0,0.722223,0.596301,0.777777,0.740744,111.62963,101,129.22223,104.666664,-31.88889,52.77778,-20.88889,129.22223,0.218379,-2.229685,SKY
179,101,9,0,0,0.444448,0.385187,0.611109,0.329633,134.92592,126.44444,147.22223,131.11111,-25.444445,36.88889,-11.444445,147.22223,0.141107,-2.328735,SKY
112,30,9,0,0,0.555557,0.272164,1.222223,0.720082,113.25926,100.77778,130.11111,108.888885,-37.444443,50.555557,-13.111111,130.11111,0.225384,-2.385308,SKY
103,64,9,0,0,0.666667,0.699205,1.333331,0.918936,108.77778,96.333336,126.22222,103.77778,-37.333332,52.333332,-15,126.22222,0.236797,-2.355443,SKY
174,50,9,0,0,1.000001,0.760115,0.944445,0.952579,107.44444,94.666664,125.77778,101.888885,-38.333332,55,-16.666666,125.77778,0.247337,-2.337296,SKY
80,40,9,0,0,0.611111,0.574132,0.722223,0.772203,110.703705,96.22222,129,106.888885,-43.444443,54.88889,-11.444445,129,0.254051,-2.434692,SKY
67,71,9,0,0,1.666667,0.888891,1.499999,0.299998,125.96296,115.55556,140.88889,121.44444,-31.222221,44.77778,-13.555555,140.88889,0.179672,-2.339758,SKY
92,56,9,0,0,0.444443,0.029629,0.833333,0.566668,126,115.888885,140.66667,121.44444,-30.333334,44,-13.666667,140.66667,0.176061,-2.326783,SKY
67,32,9,0,0,0.944444,1.062842,1.777779,1.310922,126.22222,115.111115,142.22223,121.333336,-33.333332,48,-14.666667,142.22223,0.190625,-2.333746,SKY
125,46,9,0.111111,0,0.611109,0.611616,2.166668,0.781735,124.55556,112.77778,141,119.888885,-35.333332,49.333332,-14,141,0.200124,-2.357688,SKY
101,121,9,0.111111,0,0.666667,0.843274,1.5,0.888194,3.407408,1.111111,6,3.111111,-6.888889,7.777778,-0.888889,6,0.843518,-2.519165,FOLIAGE
21,122,9,0,0,0.444444,0.403687,0.444444,0.403687,0.555556,0,1.222222,0.444444,-1.666667,2,-0.333333,1.222222,0.555556,-2.444563,FOLIAGE
